size: 10
targets_num: 5
Map	AntTime	PlanTime	FullTime
0	0.7055389881134033	0.0	0.706
1	0.4069228172302246	0.0	0.407
2	0.48914003372192383	0.0	0.489
3	0.3713390827178955	0.0	0.371
4	0.5593430995941162	0.0	0.559
5	0.5079598426818848	0.0	0.508
6	0.4469609260559082	0.0	0.447
7	0.2970898151397705	0.0	0.297
8	0.3031129837036133	0.0	0.303
9	0.3821418285369873	0.0	0.382
mean map by ant:	0.4069228172302246	0.0	0.407
mean map by plan:	0.2970898151397705	0.0	0.297
mean map by full:	0.4069228172302246	0.0	0.407
