size: 10
targets_num: 10
Map	AntTime	PlanTime	FullTime
0	0.7371220588684082	0.0	0.737
1	0.5932748317718506	0.0	0.593
2	0.8284258842468262	0.0	0.828
3	0.8769102096557617	0.0	0.877
4	0.9285738468170166	0.0	0.929
5	0.5346012115478516	0.0	0.535
6	0.5048730373382568	0.0	0.505
7	0.7816240787506104	0.0	0.782
8	0.7542481422424316	0.0	0.754
9	0.6078650951385498	0.0	0.608
mean map by ant:	0.7371220588684082	0.0	0.737
mean map by plan:	0.5048730373382568	0.0	0.505
mean map by full:	0.7371220588684082	0.0	0.737
