size: 50
targets_num: 50
Map	AntTime	PlanTime	FullTime
0	10.73975396156311	0.005	10.745
1	11.1177077293396	0.003	11.121
2	12.242192029953003	0.004	12.246
3	12.411322116851807	0.004	12.415
4	11.491445064544678	0.003	11.494
5	13.130467176437378	0.004	13.134
6	13.064478874206543	0.004	13.068
7	12.796319007873535	0.003	12.799
8	15.132253170013428	0.004	15.136
9	15.12783408164978	0.004	15.132
mean map by ant:	12.411322116851807	0.004	12.415
mean map by plan:	12.242192029953003	0.004	12.246
mean map by full:	12.411322116851807	0.004	12.415
