size: 3500000\nthreads_num	time(s)
1	35.0796058177948
2	33.13248801231384
3	16.832555770874023
4	12.727164030075073
5	11.443432331085205
6	14.314231634140015
7	7.603809833526611
8	7.55057430267334
9	6.8928351402282715
10	7.627497434616089
11	6.683061838150024
12	7.274904727935791
13	14.833284854888916
14	4.05609393119812
15	5.162403345108032
16	10.428889513015747
17	7.3485424518585205
18	6.761274576187134
19	6.276380300521851
20	7.423066139221191
21	8.200414657592773
22	7.7818028926849365
23	7.000675678253174
24	9.691108226776123
