size: 1000
targets_num: 10
Map	AntTime	PlanTime	FullTime
0	292.7002739906311	0.0	292.7
1	551.2863101959229	0.0	551.286
2	516.5504648685455	0.0	516.55
3	1196.7222352027893	0.0	1196.722
4	626.0255477428436	0.0	626.026
5	1190.343689918518	0.0	1190.344
6	554.8769781589508	0.0	554.877
7	372.3021171092987	0.0	372.302
8	777.7330451011658	0.0	777.733
9	1581.0404260158539	0.0	1581.04
mean map by ant:	554.8769781589508	0.0	554.877
mean map by plan:	292.7002739906311	0.0	292.7
mean map by full:	554.8769781589508	0.0	554.877
