size: 1000
targets_num: 20
Map	AntTime	PlanTime	FullTime
0	847.4959480762482	0.003	847.499
1	879.1981997489929	0.0	879.198
2	493.1172561645508	0.001	493.118
3	596.3685669898987	0.0	596.369
4	757.6500089168549	0.001	757.651
5	1356.152853012085	0.001	1356.154
6	1412.945345878601	0.0	1412.945
7	1571.8790619373322	0.001	1571.88
8	2050.208573818207	0.001	2050.21
9	2182.636496067047	0.002	2182.638
mean map by ant:	879.1981997489929	0.001	879.198
mean map by plan:	847.4959480762482	0.001	847.499
mean map by full:	879.1981997489929	0.001	879.198
