size: 1000
targets_num: 5
Map	AntTime	PlanTime	FullTime
0	985.4665458202362	0.0	985.467
1	289.5457410812378	0.0	289.546
2	775.5558831691742	0.0	775.556
3	612.4615788459778	0.0	612.462
4	356.07551407814026	0.0	356.076
5	258.1334707736969	0.0	258.133
6	1100.10644364357	0.0	1100.106
7	715.7012219429016	0.0	715.701
8	905.145388841629	0.0	905.145
9	170.51577281951904	0.0	170.516
mean map by ant:	612.4615788459778	0.0	612.462
mean map by plan:	170.51577281951904	0.0	170.516
mean map by full:	612.4615788459778	0.0	612.462
