size: 1000
targets_num: 50
Map	AntTime	PlanTime	FullTime
0	2510.47385597229	0.005	2510.479
1	1478.3374452590942	0.004	1478.341
2	2206.7931838035583	0.004	2206.797
3	2167.355246067047	0.003	2167.358
4	2049.0023579597473	0.004	2049.006
5	2417.7824099063873	0.004	2417.786
6	2335.373293161392	0.004	2335.377
7	4075.2389731407166	0.004	4075.243
8	4158.509321928024	0.004	4158.513
9	4512.158426761627	0.005	4512.163
mean map by ant:	2335.373293161392	0.004	2335.377
mean map by plan:	2049.0023579597473	0.004	2049.006
mean map by full:	2335.373293161392	0.004	2335.377
