size: 100
targets_num: 50
Map	AntTime	PlanTime	FullTime
0	24.715040922164917	0.003	24.718
1	30.1071879863739	0.003	30.11
2	26.094265937805176	0.003	26.097
3	23.2238290309906	0.003	23.227
4	28.408200979232788	0.004	28.412
5	25.22285485267639	0.004	25.227
6	25.279788970947266	0.003	25.283
7	23.15173316001892	0.003	23.155
8	22.088246822357178	0.004	22.092
9	31.062259912490845	0.003	31.065
mean map by ant:	25.22285485267639	0.003	25.227
mean map by plan:	22.088246822357178	0.003	22.092
mean map by full:	25.22285485267639	0.003	25.227
