size: 100
targets_num: 20
Map	AntTime	PlanTime	FullTime
0	14.940953969955444	0.001	14.942
1	13.683669805526733	0.0	13.684
2	14.664111137390137	0.0	14.664
3	12.805966854095459	0.0	12.806
4	17.5625479221344	0.0	17.563
5	13.439838171005249	0.0	13.44
6	13.895833253860474	0.0	13.896
7	11.747292041778564	0.0	11.747
8	14.714018106460571	0.0	14.714
9	17.02389693260193	0.0	17.024
mean map by ant:	13.895833253860474	0.0	13.896
mean map by plan:	11.747292041778564	0.0	11.747
mean map by full:	13.895833253860474	0.0	13.896
