size: 250
targets_num: 5
Map	AntTime	PlanTime	FullTime
0	42.28026103973389	0.0	42.28
1	19.016417026519775	0.0	19.016
2	20.36057424545288	0.0	20.361
3	17.648653984069824	0.0	17.649
4	19.15439772605896	0.0	19.154
5	25.560971975326538	0.0	25.561
6	18.231120109558105	0.0	18.231
7	13.386479139328003	0.0	13.386
8	17.921887159347534	0.0	17.922
9	23.87056803703308	0.0	23.871
mean map by ant:	19.016417026519775	0.0	19.016
mean map by plan:	13.386479139328003	0.0	13.386
mean map by full:	19.016417026519775	0.0	19.016
