size: 250
targets_num: 10
Map	AntTime	PlanTime	FullTime
0	32.36045789718628	0.0	32.36
1	27.001655101776123	0.0	27.002
2	30.918561697006226	0.0	30.919
3	38.52182126045227	0.0	38.522
4	39.69219708442688	0.0	39.692
5	25.46197199821472	0.0	25.462
6	34.01190495491028	0.0	34.012
7	34.576038122177124	0.0	34.576
8	35.83924603462219	0.0	35.839
9	26.68618607521057	0.0	26.686
mean map by ant:	32.36045789718628	0.0	32.36
mean map by plan:	25.46197199821472	0.0	25.462
mean map by full:	32.36045789718628	0.0	32.36
