size: 250
targets_num: 20
Map	AntTime	PlanTime	FullTime
0	52.14858031272888	0.0	52.149
1	69.75315403938293	0.0	69.753
2	45.16011905670166	0.0	45.16
3	52.34770202636719	0.0	52.348
4	60.399924993515015	0.0	60.4
5	49.7006311416626	0.0	49.701
6	58.34534215927124	0.0	58.345
7	51.704253911972046	0.0	51.704
8	48.9895339012146	0.0	48.99
9	54.965981245040894	0.0	54.966
mean map by ant:	52.14858031272888	0.0	52.149
mean map by plan:	45.16011905670166	0.0	45.16
mean map by full:	52.14858031272888	0.0	52.149
