size: 25
targets_num: 20
Map	AntTime	PlanTime	FullTime
0	2.754866123199463	0.0	2.755
1	3.2133138179779053	0.001	3.214
2	2.6664068698883057	0.0	2.666
3	2.6706690788269043	0.001	2.672
4	3.0446999073028564	0.0	3.045
5	2.67559814453125	0.0	2.676
6	2.0411031246185303	0.0	2.041
7	2.3864309787750244	0.0	2.386
8	2.116396903991699	0.0	2.116
9	3.377349853515625	0.0	3.377
mean map by ant:	2.6706690788269043	0.0	2.672
mean map by plan:	2.0411031246185303	0.0	2.041
mean map by full:	2.6706690788269043	0.0	2.672
