size: 25
targets_num: 50
Map	AntTime	PlanTime	FullTime
0	4.2075958251953125	0.004	4.212
1	4.244097948074341	0.004	4.248
2	6.4386701583862305	0.005	6.444
3	4.534707069396973	0.003	4.538
4	5.5378828048706055	0.004	5.542
5	5.013339042663574	0.004	5.017
6	6.204847097396851	0.004	6.209
7	5.60214900970459	0.004	5.606
8	5.565465688705444	0.004	5.569
9	5.159043788909912	0.005	5.164
mean map by ant:	5.159043788909912	0.004	5.164
mean map by plan:	4.244097948074341	0.004	4.248
mean map by full:	5.159043788909912	0.004	5.164
