size: 3500000
threads_num	time(s)
1	0.547999
2	0.663792
3	0.820122
4	1.01943
5	1.12063
6	1.2334
7	1.39571
8	1.50866
9	1.62303
10	1.7378
11	1.82825
12	1.86184
13	2.00555
14	2.35808
15	2.37115
16	2.47702
17	2.5344
18	2.64568
19	2.92981
20	2.90041
21	2.96743
22	3.18248
23	3.4785
