size: 5
targets_num: 5
Map	AntTime	PlanTime	FullTime
0	0.16394996643066406	0.0	0.164
1	0.14439821243286133	0.0	0.144
2	0.23871612548828125	0.0	0.239
3	0.20029878616333008	0.0	0.2
4	0.2619662284851074	0.0	0.262
5	0.13215374946594238	0.0	0.132
6	0.23458194732666016	0.0	0.235
7	0.1621840000152588	0.0	0.162
8	0.2298598289489746	0.0	0.23
9	0.1448650360107422	0.0	0.145
mean map by ant:	0.16394996643066406	0.0	0.164
mean map by plan:	0.13215374946594238	0.0	0.132
mean map by full:	0.16394996643066406	0.0	0.164
