size: 5
targets_num: 10
Map	AntTime	PlanTime	FullTime
0	0.3134500980377197	0.0	0.313
1	0.4119241237640381	0.0	0.412
2	0.35408711433410645	0.0	0.354
3	0.2885010242462158	0.0	0.289
4	0.3815422058105469	0.0	0.382
5	0.2733016014099121	0.0	0.273
6	0.42005395889282227	0.0	0.42
7	0.3696119785308838	0.0	0.37
8	0.2837951183319092	0.0	0.284
9	0.3713688850402832	0.0	0.371
mean map by ant:	0.35408711433410645	0.0	0.354
mean map by plan:	0.2733016014099121	0.0	0.273
mean map by full:	0.35408711433410645	0.0	0.354
