size: 500
targets_num: 50
Map	AntTime	PlanTime	FullTime
0	308.6445577144623	0.003	308.648
1	321.9514968395233	0.004	321.955
2	335.5286719799042	0.004	335.533
3	364.50322103500366	0.003	364.506
4	319.94924688339233	0.003	319.952
5	503.2007751464844	0.003	503.204
6	341.67980122566223	0.004	341.684
7	311.8058261871338	0.003	311.809
8	283.16108894348145	0.003	283.164
9	409.1250009536743	0.003	409.128
mean map by ant:	321.9514968395233	0.003	321.955
mean map by plan:	283.16108894348145	0.003	283.164
mean map by full:	321.9514968395233	0.003	321.955
