size: 500
targets_num: 20
Map	AntTime	PlanTime	FullTime
0	137.2732470035553	0.0	137.273
1	167.23236107826233	0.0	167.232
2	143.1376712322235	0.0	143.138
3	168.1261260509491	0.001	168.127
4	178.5908739566803	0.001	178.592
5	128.15281009674072	0.0	128.153
6	198.6700930595398	0.0	198.67
7	282.8979642391205	0.0	282.898
8	277.1809232234955	0.001	277.182
9	243.641850233078	0.0	243.642
mean map by ant:	168.1261260509491	0.0	168.127
mean map by plan:	128.15281009674072	0.0	128.153
mean map by full:	168.1261260509491	0.0	168.127
