size: 500
targets_num: 10
Map	AntTime	PlanTime	FullTime
0	73.60561490058899	0.0	73.606
1	105.09704494476318	0.0	105.097
2	109.30441117286682	0.0	109.304
3	187.0128788948059	0.0	187.013
4	124.74064993858337	0.0	124.741
5	79.99268198013306	0.0	79.993
6	87.23904776573181	0.0	87.239
7	87.76271390914917	0.0	87.763
8	80.41181492805481	0.0	80.412
9	103.25167679786682	0.0	103.252
mean map by ant:	87.76271390914917	0.0	87.763
mean map by plan:	73.60561490058899	0.0	73.606
mean map by full:	87.76271390914917	0.0	87.763
