size: 500
targets_num: 5
Map	AntTime	PlanTime	FullTime
0	47.885172843933105	0.0	47.885
1	48.117480993270874	0.0	48.117
2	64.08619713783264	0.0	64.086
3	59.32067918777466	0.0	59.321
4	75.3269100189209	0.0	75.327
5	61.192538261413574	0.0	61.193
6	51.791948080062866	0.0	51.792
7	58.80499196052551	0.0	58.805
8	56.374510049819946	0.0	56.375
9	56.46719408035278	0.0	56.467
mean map by ant:	56.46719408035278	0.0	56.467
mean map by plan:	47.885172843933105	0.0	47.885
mean map by full:	56.46719408035278	0.0	56.467
